OBJECTID,point,X,Y
1092,1,114.1424159,30.39515407
1093,1,114.1424152,30.39515337
1094,1,114.1424145,30.39515267
1095,1,114.1424138,30.39515197
1096,1,114.1424131,30.39515127
1097,1,114.1424124,30.39515058
1098,1,114.1424116,30.39514988
1099,1,114.1424109,30.39514918
1100,1,114.1424102,30.39514848
1101,1,114.1424095,30.39514778
1102,1,114.1424088,30.39514708
1103,1,114.1424081,30.39514639
1104,1,114.1424074,30.39514569
1105,1,114.1424066,30.39514499
1106,1,114.1424059,30.39514429
1107,1,114.1424052,30.39514359
1108,1,114.1424045,30.39514289
1109,1,114.1424038,30.3951422
1110,1,114.1424031,30.3951415
1111,1,114.1424023,30.3951408
1112,1,114.1424016,30.3951401
1113,1,114.1424009,30.3951394
1114,1,114.1424002,30.3951387
1115,1,114.1423995,30.395138
1116,1,114.1423988,30.39513731
1117,1,114.1423981,30.39513661
1118,1,114.1423973,30.39513591
1119,1,114.1423966,30.39513521
1120,1,114.1423959,30.39513451
1121,1,114.1423952,30.39513381
1122,1,114.1423945,30.39513312
1123,1,114.1423938,30.39513242
1124,1,114.142393,30.39513172
1125,1,114.1423923,30.39513102
1126,1,114.1423916,30.39513032
1127,1,114.1423909,30.39512962
1128,1,114.1423902,30.39512892
1129,1,114.1423895,30.39512823
1130,1,114.1423887,30.39512753
1131,1,114.142388,30.39512683
1132,1,114.1423873,30.39512613
1133,1,114.1423866,30.39512543
1134,1,114.1423859,30.39512473
1135,1,114.1423852,30.39512404
1136,1,114.1423845,30.39512334
1137,1,114.1423837,30.39512264
1138,1,114.142383,30.39512194
1139,1,114.1423823,30.39512124
1140,1,114.1423816,30.39512054
1141,1,114.1423809,30.39511985
1142,1,114.1423802,30.39511915
1143,1,114.1423794,30.39511845
1144,1,114.1423787,30.39511775
1145,1,114.142378,30.39511705
1146,1,114.1423773,30.39511635
1147,1,114.1423766,30.39511565
1148,1,114.1423759,30.39511496
1149,1,114.1423752,30.39511426
1150,1,114.1423744,30.39511356
1151,1,114.1423737,30.39511286
1152,1,114.142373,30.39511216
1153,1,114.1423723,30.39511146
1154,1,114.1423716,30.39511077
1155,1,114.1423709,30.39511007
1156,1,114.1423701,30.39510937
1157,1,114.1423694,30.39510867
1158,1,114.1423687,30.39510797
1159,1,114.142368,30.39510727
1160,1,114.1423673,30.39510657
1161,1,114.1423666,30.39510588
1162,1,114.1423658,30.39510518
1163,1,114.1423651,30.39510448
1164,1,114.1423644,30.39510378
1165,1,114.1423637,30.39510308
1166,1,114.142363,30.39510238
1167,1,114.1423623,30.39510169
1168,1,114.1423616,30.39510099
1169,1,114.1423608,30.39510029
1170,1,114.1423601,30.39509959
1171,1,114.1423594,30.39509889
1172,1,114.1423587,30.39509819
1173,1,114.142358,30.3950975
1174,1,114.1423573,30.3950968
1175,1,114.1423565,30.3950961
1176,1,114.1423558,30.3950954
1177,1,114.1423551,30.3950947
1178,1,114.1423544,30.395094
1179,1,114.1423537,30.3950933
1180,1,114.142353,30.39509261
1181,1,114.1423522,30.39509191
1182,1,114.1423515,30.39509121
1183,1,114.1423508,30.39509051
1184,1,114.1423501,30.39508981
1185,1,114.1423494,30.39508911
1186,1,114.1423487,30.39508842
1187,1,114.142348,30.39508772
1188,1,114.1423472,30.39508702
1189,1,114.1423465,30.39508632
1190,1,114.1423458,30.39508562
1191,1,114.1423451,30.39508492
1192,1,114.1423444,30.39508422
1193,1,114.1423437,30.39508353
1194,1,114.1423429,30.39508283
1195,1,114.1423422,30.39508213
1196,1,114.1423415,30.39508143
1197,1,114.1423408,30.39508073
1198,1,114.1423401,30.39508003
1199,1,114.1423394,30.39507934
1200,1,114.1423387,30.39507864
1201,1,114.1423379,30.39507794
1202,1,114.1423372,30.39507724
1203,1,114.1423365,30.39507654
1204,1,114.1423358,30.39507584
1205,1,114.1423351,30.39507515
1206,1,114.1423344,30.39507445
1207,1,114.1423336,30.39507375
1208,1,114.1423329,30.39507305
1209,1,114.1423322,30.39507235
1210,1,114.1423315,30.39507165
1211,1,114.1423308,30.39507095
1212,1,114.1423301,30.39507026
1213,1,114.1423293,30.39506956
1214,1,114.1423286,30.39506886
1215,1,114.1423279,30.39506816
1216,1,114.1423272,30.39506746
1217,1,114.1423265,30.39506676
1218,1,114.1423258,30.39506607
1219,1,114.1423251,30.39506537
1220,1,114.1423243,30.39506467
1221,1,114.1423236,30.39506397
1222,1,114.1423229,30.39506327
1223,1,114.1423222,30.39506257
1224,1,114.1423215,30.39506187
1225,1,114.1423208,30.39506118
1226,1,114.14232,30.39506048
1227,1,114.1423193,30.39505978
